Year,SiteName,TripNo,MonthYear,SiteGrid,Species,AvgOfCover,AvgOfFL,AvgOfSeed,dead/alive
1993,Main Camp,18,Oct.93,MC2,Tephrosea rosea,10,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Trianthema pilosa,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC2,Triodia basedowii,12.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC3,Calandrinia balonensis,1,0.5,0.5,Alive
1993,Main Camp,18,Oct.93,MC3,Erogrostis spp,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC3,Grevillea stenobotrya,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC3,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC3,Scaveola parviflora,1,0.5,0,Alive
1993,Main Camp,18,Oct.93,MC3,Sida fibulifera,35,0,0,Alive
1993,Main Camp,18,Oct.93,MC3,Triodia basedowii,21,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Atalaya hemiglauca,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Calandrinia balonensis,1,0.5,0,Alive
1993,Main Camp,18,Oct.93,MC4,Dicrastylis costelloi,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Grevillea stenobotrya,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Helipterum floribundum,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Newcastelia spodiotricha,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Salsola kali,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Scaveola parviflora,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Sida fibulifera,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC4,Triodia basedowii,32.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC5,Abutilon otocarpum,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC5,Aristida contorta,3.333333333,0,0.666666667,Alive
1993,Main Camp,18,Oct.93,MC5,Calandrinia balonensis,1.833333333,2.333333333,0.5,Alive
1993,Main Camp,18,Oct.93,MC5,Grevillea stenobotrya,4.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC5,Helipterum floribundum,1,1.666666667,0,Alive
1993,Main Camp,18,Oct.93,MC5,Salsola kali,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC5,Scaveola parviflora,3.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC5,Triodia basedowii,30,0,0,Alive
1993,Main Camp,18,Oct.93,MC6,Acacia 1,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC6,Calandrinia balonensis,1,0.166666667,0.166666667,Alive
1993,Main Camp,18,Oct.93,MC6,Erogrostis spp,1.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC6,Grevillea junctifolia,8,2,4,Alive
1993,Main Camp,18,Oct.93,MC6,Grevillea stenobotrya,14,0,0,Alive
1993,Main Camp,18,Oct.93,MC6,Paractaenum refractum,10,0,0,Alive
1993,Main Camp,18,Oct.93,MC6,Scaveola parviflora,3,0,0,Alive
1993,Main Camp,18,Oct.93,MC6,Triodia basedowii,38.33333333,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Acacia bivenosa,20,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Aristida contorta,3.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC7,Calandrinia balonensis,1.333333333,1.833333333,0.666666667,Alive
1993,Main Camp,18,Oct.93,MC7,Eriachne aristidea,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Erogrostis spp,1,1,0,Alive
1993,Main Camp,18,Oct.93,MC7,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Grevillea stenobotrya,20,0,1,Alive
1993,Main Camp,18,Oct.93,MC7,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Scaveola parvibarbata,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Scaveola parviflora,5,0,1,Alive
1993,Main Camp,18,Oct.93,MC7,Sida fibulifera,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC7,Tephrosea rosea,10,0,1,Alive
1993,Main Camp,18,Oct.93,MC7,Trachymene glaucifolia,1,0,1.5,Alive
1993,Main Camp,18,Oct.93,MC7,Triodia basedowii,32.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Acacia dictyophleba,10,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Aristida contorta,3.333333333,0,0.666666667,Alive
1993,Main Camp,18,Oct.93,MC8,Calandrinia balonensis,1.4,1.8,0.8,Alive
1993,Main Camp,18,Oct.93,MC8,Calotis erinacea,3,1,5,Alive
1993,Main Camp,18,Oct.93,MC8,Crotalaria eremaea,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Euphorbia drummondii,2,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Grevillea stenobotrya,3.5,0,0.5,Alive
1993,Main Camp,18,Oct.93,MC8,Scaveola parviflora,5.333333333,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Sida fibulifera,2.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Tephrosea rosea,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC8,Trachymene glaucifolia,1,0,4,Alive
1993,Main Camp,18,Oct.93,MC8,Triodia basedowii,24,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Acacia cambagei,10,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Calandrinia balonensis,1,0.75,0.5,Alive
1993,Main Camp,18,Oct.93,MC9,Eriachne aristidea,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Grevillea stenobotrya,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Newcastelia spodiotricha,5,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Paractaenum refractum,2.5,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Ptilotus latifolius,1,3,0,Alive
1993,Main Camp,18,Oct.93,MC9,Salsola kali,1,1,1,Alive
1993,Main Camp,18,Oct.93,MC9,Scaveola parviflora,1,0,0,Alive
1993,Main Camp,18,Oct.93,MC9,Sida fibulifera,6,0.5,0,Alive
1993,Main Camp,18,Oct.93,MC9,Tephrosea rosea,5,0,1,Alive
1993,Main Camp,18,Oct.93,MC9,Trachymene glaucifolia,1.2,0,2.2,Alive
1993,Main Camp,18,Oct.93,MC9,Triodia basedowii,25,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Calandrinia balonensis,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Eriachne aristidea,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Erogrostis spp,3.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Grevillea stenobotrya,1.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Ptilotus polystachyus,1,0,3,Alive
1993,Main Camp,19,Nov.93,MC0,Scaveola parviflora,13.66666667,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Sclerolaena bicornis,1,0.5,0,Alive
1993,Main Camp,19,Nov.93,MC0,Triodia basedowii,25,0,0,Alive
1993,Main Camp,19,Nov.93,MC0,Triumfetta winneckeana,2,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Aristida contorta,1,1,1,Alive
1993,Main Camp,19,Nov.93,MC1,Calandrinia balonensis,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Eremophila longifolia,10,0,1,Alive
1993,Main Camp,19,Nov.93,MC1,Grevillea stenobotrya,15,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Ptilotus polystachyus,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Ptilotus sessilifolius,10,2,1,Alive
1993,Main Camp,19,Nov.93,MC1,Scaveola parviflora,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Sida fibulifera,4.333333333,0.333333333,0,Alive
1993,Main Camp,19,Nov.93,MC1,Trianthema pilosa,1.333333333,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Triodia basedowii,25,0,0,Alive
1993,Main Camp,19,Nov.93,MC1,Triumfetta winneckeana,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Aristida contorta,3.5,0,1,Alive
1993,Main Camp,19,Nov.93,MC10,Calandrinia balonensis,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Dicrastylis costelloi,10,5,4,Alive
1993,Main Camp,19,Nov.93,MC10,Grevillea stenobotrya,10.5,0,1.25,Alive
1993,Main Camp,19,Nov.93,MC10,Helipterum floribundum,1,1,0,Alive
1993,Main Camp,19,Nov.93,MC10,Scaveola parviflora,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Sida fibulifera,7.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Tephrosea rosea,3,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Trachymene glaucifolia,1,0,2,Alive
1993,Main Camp,19,Nov.93,MC10,Trianthema pilosa,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC10,Triodia basedowii,22.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Aristida contorta,7.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Calandrinia balonensis,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Grevillea stenobotrya,3.5,0,0.5,Alive
1993,Main Camp,19,Nov.93,MC11,Helipterum floribundum,1,0.5,0,Alive
1993,Main Camp,19,Nov.93,MC11,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Portulaca spp,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Ptilotus polystachyus,1,1,0,Alive
1993,Main Camp,19,Nov.93,MC11,Salsola kali,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Scaveola parviflora,1,1,0.5,Alive
1993,Main Camp,19,Nov.93,MC11,Sida fibulifera,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Tephrosea rosea,6,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Trachymene glaucifolia,1,0,0.25,Alive
1993,Main Camp,19,Nov.93,MC11,Trianthema pilosa,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Triodia basedowii,34,0,0,Alive
1993,Main Camp,19,Nov.93,MC11,Triumfetta winneckeana,8,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Dicrastylis costelloi,3,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Grevillea stenobotrya,7.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Paractaenum refractum,3.333333333,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Ptilotus sessilifolius,2,0,1,Alive
1993,Main Camp,19,Nov.93,MC2,Salsola kali,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Scaveola parviflora,8.333333333,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Sida fibulifera,3.666666667,1,0,Alive
1993,Main Camp,19,Nov.93,MC2,Tephrosea rosea,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC2,Triodia basedowii,12.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC3,Calandrinia balonensis,1,0,0.666666667,Alive
1993,Main Camp,19,Nov.93,MC3,Erogrostis spp,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC3,Grevillea stenobotrya,3,0,0,Alive
1993,Main Camp,19,Nov.93,MC3,Scaveola parviflora,1,0.5,0,Alive
1993,Main Camp,19,Nov.93,MC3,Sida fibulifera,35,1,0,Alive
1993,Main Camp,19,Nov.93,MC3,Triodia basedowii,21.66666667,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Atalaya hemiglauca,7.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Dicrastylis costelloi,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Grevillea stenobotrya,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Helipterum floribundum,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Newcastelia spodiotricha,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Salsola kali,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Scaveola parviflora,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC4,Sida fibulifera,5,1,0,Alive
1993,Main Camp,19,Nov.93,MC4,Triodia basedowii,34.16666667,0,0,Alive
1993,Main Camp,19,Nov.93,MC5,Abutilon otocarpum,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC5,Calandrinia balonensis,1,1,1.333333333,Alive
1993,Main Camp,19,Nov.93,MC5,Grevillea stenobotrya,4.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC5,Helipterum floribundum,1,1.666666667,0,Alive
1993,Main Camp,19,Nov.93,MC5,Salsola kali,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC5,Scaveola parviflora,3.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC5,Triodia basedowii,30,0,0,Alive
1993,Main Camp,19,Nov.93,MC6,Acacia 1,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC6,Calandrinia balonensis,1,0,1,Alive
1993,Main Camp,19,Nov.93,MC6,Erogrostis spp,1.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC6,Grevillea junctifolia,8,1,4,Alive
1993,Main Camp,19,Nov.93,MC6,Grevillea stenobotrya,14,0,0,Alive
1993,Main Camp,19,Nov.93,MC6,Paractaenum refractum,10,0,1,Alive
1993,Main Camp,19,Nov.93,MC6,Scaveola parviflora,2,0,0,Alive
1993,Main Camp,19,Nov.93,MC6,Triodia basedowii,38.33333333,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Acacia bivenosa,20,0,2,Alive
1993,Main Camp,19,Nov.93,MC7,Aristida contorta,3.333333333,0,0.333333333,Alive
1993,Main Camp,19,Nov.93,MC7,Calandrinia balonensis,1,0.5,0,Alive
1993,Main Camp,19,Nov.93,MC7,Crotalaria cunninghamii,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Eriachne aristidea,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Erogrostis spp,1,0,1,Alive
1993,Main Camp,19,Nov.93,MC7,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Grevillea stenobotrya,20,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Paractaenum refractum,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Salsola kali,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Scaveola parviflora,3,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Sida fibulifera,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Tephrosea rosea,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC7,Trachymene glaucifolia,1,0,0.5,Alive
1993,Main Camp,19,Nov.93,MC7,Triodia basedowii,32.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC8,Acacia dictyophleba,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC8,Aristida contorta,3.333333333,0,0.666666667,Alive
1993,Main Camp,19,Nov.93,MC8,Calandrinia balonensis,1,1,2,Alive
1993,Main Camp,19,Nov.93,MC8,Calotis erinacea,3,0,4,Alive
1993,Main Camp,19,Nov.93,MC8,Euphorbia drummondii,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC8,Grevillea stenobotrya,3.5,0,0,Alive
1993,Main Camp,19,Nov.93,MC8,Scaveola parviflora,5.333333333,0,0,Alive
1993,Main Camp,19,Nov.93,MC8,Sida fibulifera,2.333333333,0.333333333,0,Alive
1993,Main Camp,19,Nov.93,MC8,Tephrosea rosea,5,1,0,Alive
1993,Main Camp,19,Nov.93,MC8,Triodia basedowii,24,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Acacia cambagei,10,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Eriachne aristidea,3,1,0,Alive
1993,Main Camp,19,Nov.93,MC9,Goodenia cycloptera,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Grevillea stenobotrya,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Newcastelia spodiotricha,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Paractaenum refractum,3,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Ptilotus latifolius,3,2.5,2.5,Alive
1993,Main Camp,19,Nov.93,MC9,Salsola kali,1,0,2,Alive
1993,Main Camp,19,Nov.93,MC9,Sida fibulifera,6,0.5,0,Alive
1993,Main Camp,19,Nov.93,MC9,Tephrosea rosea,5,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Trachymene glaucifolia,1.25,0,1.25,Alive
1993,Main Camp,19,Nov.93,MC9,Trianthema pilosa,1,0,0,Alive
1993,Main Camp,19,Nov.93,MC9,Triodia basedowii,25,0,0.2,Alive
1994,Main Camp,21,Mar.94,MC0,Abutilon otocarpum,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Dicrastylis costelloi,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Eriachne aristidea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Grevillea stenobotrya,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Scaveola parviflora,13,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Sida fibulifera,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Tephrosea rosea,5,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Trachymene glaucifolia,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Trianthema pilosa,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC0,Triodia basedowii,20,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Abutilon otocarpum,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Calandrinia balonensis,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Crotalaria eremaea,1,0,1,Alive
1994,Main Camp,21,Mar.94,MC1,Eremophila longifolia,7,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Eriachne aristidea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Euphorbia drummondii,8,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Scaveola parviflora,20,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Sida fibulifera,3.666666667,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Tephrosea rosea,1.5,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Trianthema pilosa,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC1,Triodia basedowii,23.33333333,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Acacia 1,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Acacia 2,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Acacia dictyophleba,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Aristida contorta,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Calandrinia balonensis,1,1.5,1.5,Alive
1994,Main Camp,21,Mar.94,MC2,Crotalaria cunninghamii,1,1,2,Alive
1994,Main Camp,21,Mar.94,MC2,Eriachne aristidea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Frankenia gracilis,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Grevillea stenobotrya,6,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Scaveola parviflora,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Sida fibulifera,3,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Tephrosea rosea,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC2,Triodia basedowii,20.5,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Aristida contorta,1,0,0.5,Alive
1994,Main Camp,21,Mar.94,MC3,Calandrinia balonensis,1,0.666666667,1,Alive
1994,Main Camp,21,Mar.94,MC3,Eremophila longifolia,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Eriachne aristidea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Grevillea stenobotrya,2.25,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Scaveola parviflora,2.25,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Sida fibulifera,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Tephrosea rosea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC3,Triodia basedowii,18.5,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Acacia 2,5,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Atalaya hemiglauca,20,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Calandrinia balonensis,1,1,2,Alive
1994,Main Camp,21,Mar.94,MC4,Crotalaria cunninghamii,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Eriachne aristidea,1,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Grevillea stenobotrya,5,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Newcastelia spodiotricha,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Scaveola parviflora,10,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Sida fibulifera,2.666666667,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Tephrosea rosea,10,0,0,Alive
1994,Main Camp,21,Mar.94,MC4,Trachymene glaucifolia,15,0,2,Alive
1994,Main Camp,21,Mar.94,MC4,Triodia basedowii,24,0,0,Alive
1994,Main Camp,21,Mar.94,MC5,Acacia 1,2,0,0,Alive
1994,Main Camp,21,Mar.94,MC5,Calandrinia balonensis,1,1,1.333333333,Alive
1994,Main Camp,21,Mar.94,MC5,Grevillea stenobotrya,3.5,0,0,Alive
1994,Main Camp,21,Mar.94,MC5,Myriocephalus stuartii,1,2,0,Alive
1994,Main Camp,21,Mar.94,MC5,Scaveola parviflora,2.5,0,0,Alive
1994,Main Camp,21,Mar.94,MC5,Sida fibulifera,2,1,0,Alive
1994,Main Camp,21,Mar.94,MC5,Triodia basedowii,29.16666667,0,0,Alive
1994,Main Camp,24,Jul.94,MC0,Dicrastylis costelloi,1,0,4,Alive
1994,Main Camp,24,Jul.94,MC0,Grevillea stenobotrya,1,0,0,Alive
1994,Main Camp,24,Jul.94,MC0,Scaveola parviflora,15,0,0,Alive
