Year,SiteName,TripNo,MonthYear,Date,SiteGrid,FID,Species,Family,AvgOfCover,AvgOfFL,AvgOfSeed,deadOrAlive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Scaveola parviflora,Scaveola,7,1.333333333,3,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Sida fibulifera,Sida,2.666666667,0,0,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Trianthema pilosa,Trianthema,3,3,1,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Triodia basedowii,Triodia,19.66666667,0,0.333333333,Alive
1995,Main Camp,28,May.95,1995-05-01,MC1,9,Yakirra australiensis,Yakirra,1.333333333,0,1,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Aristida contorta,Aristida,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Blennodia canescens,Blennodia,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Crotalaria eremaea,Crotalaria,5,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Dicrastylis costelloi,Dicrastylis,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Eriachne aristidea,Eriachne,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Goodenia cycloptera,Goodenia,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Portulaca intraterranea,Portulaca,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Scaveola parviflora,Scaveola,10.5,1.5,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Sida fibulifera,Sida,12.5,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Trachymene glaucifolia,Trachymene,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Trianthema pilosa,Trianthema,1,0,0,Alive
1995,Main Camp,30,Jul.95,1995-07-01,MC1,9,Triodia basedowii,Triodia,37.5,0,0.333333333,Alive
1995,Main Camp,31,Aug.95,1995-08-01,MC1,9,Triodia basedowii,Triodia,30,0,2.166666667,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Aristida contorta,Aristida,1.8,0,2.6,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Calandrinia balonensis,Calandrinia,1,1,0,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Eremophila spp,Eremophila,5,,1,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Goodenia cycloptera,Goodenia,1,0,0,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Grass A,Grass,1,0,2,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,0,1.5,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Ptilotus spp,Ptilotus,5,0,4,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Trachymene glaucifolia,Trachymene,1,0,2.4,Alive
1995,Main Camp,32,Sep.95,1995-09-01,MC1,9,Triodia basedowii,Triodia,21.66666667,0,0,Alive
1996,Main Camp,34,Mar.96,1996-03-01,MC1,9,Aristida contorta,Aristida,1,0,1,Alive
1996,Main Camp,34,Mar.96,1996-03-01,MC1,9,Grevillea spp,Grevillea,5,0,0,Alive
1996,Main Camp,34,Mar.96,1996-03-01,MC1,9,Triodia basedowii,Triodia,22.5,0,0.666666667,Alive
1996,Main Camp,36,Jun.96,1996-06-01,MC1,9,Aristida contorta,Aristida,1,0,0.5,Alive
1996,Main Camp,36,Jun.96,1996-06-01,MC1,9,Grevillea spp,Grevillea,5,0,0,Alive
1996,Main Camp,36,Jun.96,1996-06-01,MC1,9,Triodia basedowii,Triodia,22.5,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Aristida contorta,Aristida,7.5,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Scavea parvifolia,Scavea,10,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Sida fibulifera,Sida,5,0,0,Alive
1996,Main Camp,37,Jul.96,1996-07-01,MC1,9,Triodia basedowii,Triodia,27.5,0,0,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Acacia bivenosa,Acacia,11.66666667,,1,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Aristida contorta,Aristida,5,,2,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Calandrinia balonensis,Calandrinia,1.666666667,3,2,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Calotis erinacea,Calotis,5,,,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Eremophila longifolia,Eremophila,10,,,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Eriachne aristidea,Eriachne,1,,2,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Goodenia cycloptera,Goodenia,5,1,2,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Grevillea stenobotrya,Grevillea,10,,,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,1.5,3,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Salsola kali,Salsola,5,,,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Scaveola spp,Scaveola,5,,,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Sida fibulifera,Sida,10,2,2,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Trachymene glaucifolia,Trachymene,3.666666667,2.5,2.666666667,Alive
1996,Main Camp,39,Oct.96,1996-10-01,MC1,9,Triodia basedowii,Triodia,22.5,,1.666666667,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Aristida contorta,Aristida,2,0,1,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Calandrinia balonensis,Calandrinia,1.333333333,0.333333333,1,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Calocephalus platycephalus,Calocephalus,1,1,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Enchylaena tormentosa,Enchylaena,1,0,3,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Eremophila longifolia,Eremophila,15,0,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Goodenia cycloptera,Goodenia,1,0,5,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,0.5,1.5,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Ptilotus sessilifolius,Ptilotus,1,2,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Scaveola parviflora,Scaveola,11.5,0,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Sida fibulifera,Sida,5,0,0,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Trachymene glaucifolia,Trachymene,1.666666667,0,4,Alive
1996,Main Camp,40,Nov.96,1996-11-01,MC1,9,Triodia basedowii,Triodia,28.33333333,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Aristida contorta,Aristida,3.4,0,2.4,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Calandrinia balonensis,Calandrinia,1.5,1,2,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Eremophila longifolia,Eremophila,25,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Euphorbia tannensis,Euphorbia,1,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Grevillea stenobotrya,Grevillea,17,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Scaveola spp,Scaveola,6,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Sida spp,Sida,4,0,0.5,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Swainsona microphylla,Swainsona,1,0,0,Alive
1997,Main Camp,41,Apr.97,1997-04-01,MC1,9,Triodia basedowii,Triodia,32.16666667,0,0.666666667,Alive
1997,Main Camp,43,Jun.97,1997-06-01,MC1,9,Aristida contorta,Aristida,2,0,5,Alive
1997,Main Camp,43,Jun.97,1997-06-01,MC1,9,Grass A,Grass,3.666666667,0,5,Alive
1997,Main Camp,43,Jun.97,1997-06-01,MC1,9,Grevillea spp,Grevillea,10,0,0,Alive
1997,Main Camp,43,Jun.97,1997-06-01,MC1,9,Scaveola depauperata,Scaveola,5,0,0,Alive
1997,Main Camp,43,Jun.97,1997-06-01,MC1,9,Triodia basedowii (alive),Triodia,25.83333333,0,2.5,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Aristida contorta,Aristida,5.333333333,0,1.666666667,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Eremophila longifolia,Eremophila,15,0,0,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Scaveola depauperata,Scaveola,15,0,0,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Sida fibulifera,Sida,10,0,0,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Trianthema pilosa,Trianthema,1,0,0,Alive
1997,Main Camp,47,Oct.97,1997-10-01,MC1,9,Triodia basedowii,Triodia,27.5,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Calandrinia balonensis,Calandrinia,1,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Eremophila longifolia,Eremophila,15,4,2,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Eriachne aristidea,Eriachne,1,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Euphorbia drummondii,Euphorbia,1,2,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Goodenia cycloptera,Goodenia,1,4,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,2,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Scaveola spp,Scaveola,5,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Sida fibulifera,Sida,5,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Trachymene glaucifolia,Trachymene,4.333333333,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Trianthema pilosa,Trianthema,1,0,0,Alive
1998,Main Camp,51,Jun.98,1998-06-01,MC1,9,Triodia basedowii,Triodia,32.5,0,4.333333333,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Aristida contorta,Aristida,1,0,1,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Blennodia canescens,Blennodia,1.333333333,3.333333333,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Calandrinia balonensis,Calandrinia,2.666666667,1.833333333,0.166666667,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Eremophila longifolia,Eremophila,15,0,2,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Euphorbia drummondii,Euphorbia,1.333333333,0.666666667,1,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Euphorbia tannensis,Euphorbia,1,2,2,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Goodenia cycloptera,Goodenia,2.333333333,1.333333333,0.666666667,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,3,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Haloragis gossei,Haloragis,1,1.5,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,narrow-leaf Sida,narrow-leaf,3.5,0,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,1,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Scaveola depauperata,Scaveola,2.5,0.5,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Scaveola parviflora,Scaveola,1,0,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Tephrosea rosea,Tephrosea,1,0,0,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Trachymene glaucifolia,Trachymene,7,2.333333333,0.5,Alive
1998,Main Camp,52,Aug.98,1998-08-01,MC1,9,Triodia basedowii,Triodia,38.5,0,3.333333333,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Calandrinia balonensis,Calandrinia,1.8,0.8,1,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Eremophila longifolia,Eremophila,25,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Eriachne aristidea,Eriachne,1,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Euphorbia drummondii,Euphorbia,5,1,2,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Goodenia cycloptera,Goodenia,5,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Grevillea stenobotrya,Grevillea,20,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Paractaenum refractum,Paractaenum,1,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Scaveola spp,Scaveola,7.5,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Sida rohlenae,Sida,10,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Sida spp,Sida,1,0,0,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Trachymene glaucifolia,Trachymene,3.166666667,0,2,Alive
1998,Main Camp,53,Oct.98,1998-10-01,MC1,9,Triodia basedowii,Triodia,31.66666667,0,0.833333333,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Aristida contorta,Aristida,1,0,1,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Euphorbia tannensis,Euphorbia,1,0,0,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Sida spp,Sida,5,0,0,Alive
1999,Main Camp,55,Mar.99,1999-03-01,MC1,9,Triodia basedowii,Triodia,37.2,0,0,Alive
1999,Main Camp,57,May.99,1999-05-01,MC1,9,Calandrinia balonensis,Calandrinia,1,0,0,Alive
1999,Main Camp,57,May.99,1999-05-01,MC1,9,Eremophila longifolia,Eremophila,20,0,0,Alive
1999,Main Camp,57,May.99,1999-05-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1999,Main Camp,57,May.99,1999-05-01,MC1,9,Sida fibulifera,Sida,1,0,0,Alive
1999,Main Camp,57,May.99,1999-05-01,MC1,9,Triodia basedowii,Triodia,37.83333333,0,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Aristida contorta,Aristida,1,1,3,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Calandrinia balonensis,Calandrinia,2.5,2.75,0.25,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Dodonaea viscosa,Dodonaea,2,2,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Eremophila longifolia,Eremophila,20,0,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Sida fibulifera,Sida,2,0,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Trachymene glaucifolia,Trachymene,4,4,0,Alive
1999,Main Camp,59,Aug.99,1999-08-01,MC1,9,Triodia basedowii,Triodia,32.66666667,0,0,Alive
1999,Main Camp,60,Oct.99,1999-10-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
1999,Main Camp,60,Oct.99,1999-10-01,MC1,9,Grevillea stenobotrya,Grevillea,10,0,0,Alive
1999,Main Camp,60,Oct.99,1999-10-01,MC1,9,Sida fibulifera,Sida,1,0,0,Alive
1999,Main Camp,60,Oct.99,1999-10-01,MC1,9,Triodia basedowii,Triodia,38.33333333,0,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Calandrinia balonensis,Calandrinia,1,2,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Eremophila longifolia,Eremophila,15,0,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Eriachne aristidea,Eriachne,1,0,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Euphorbia tannensis,Euphorbia,1,2,2,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Grevillea stenobotrya,Grevillea,15,0,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Sida fibulifera,Sida,2,0,0,Alive
1999,Main Camp,62,Dec.99,1999-12-01,MC1,9,Triodia basedowii,Triodia,35.83333333,0,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Aristida contorta,Aristida,5.333333333,1.333333333,3.333333333,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Calandrinia balonensis,Calandrinia,3,4,1.25,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Euphorbia drummondii,Euphorbia,3.5,2.5,2,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Euphorbia tannensis,Euphorbia,3.5,3,4,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Grass A,Grass,7.5,3.5,3.5,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Grass C,Grass,3,2.333333333,4,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Grass D,Grass,2,4.5,1,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Grevillea stenobotrya,Grevillea,5,0,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Herb H,Herb,1,3,2,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Herb J,Herb,7.5,5,2.5,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Portulaca intraterranea,Portulaca,1,0,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Ptilotus polystachyus,Ptilotus,1.5,0.5,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,seedling X,seedling,1,0,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Sida fibulifera,Sida,1.5,0.5,0,Alive
2000,Main Camp,63,Apr.00,2000-04-01,MC1,9,Triodia basedowii,Triodia,37.16666667,0,2.5,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Aristida contorta,Aristida,2.833333333,0.166666667,2.333333333,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Calandrinia balonensis,Calandrinia,1.5,3.5,2.75,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Crotalaria eremaea,Crotalaria,1,0,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Eremophila longifolia,Eremophila,10,0,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Eriachne aristidea,Eriachne,5.333333333,0.666666667,2,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Euphorbia drummondii,Euphorbia,1.5,1.5,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Euphorbia tannensis,Euphorbia,1,2,3,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Grevillea stenobotrya,Grevillea,5,0,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Paractaenum refractum,Paractaenum,2,1,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Ptilotus polystachyus,Ptilotus,1,1,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Sida fibulifera,Sida,1.5,0,0,Alive
2000,Main Camp,64,Jun.00,2000-06-01,MC1,9,Trachymene glaucifolia,Trachymene,1,0,0,Alive
